iteration,reward_mean,length_mean,games,loss
53000,957.12,20.88,8,0.026024114340543747
54000,1382.0,32.12,8,0.016995428130030632
55000,1214.38,27.12,8,0.01983945071697235
56000,1180.12,26.12,8,0.020201262086629868
57000,1320.5,30.0,8,0.05188342183828354
58000,1146.38,25.25,8,0.016935311257839203
59000,1278.75,29.12,8,0.040114350616931915
60000,1119.0,24.5,8,0.02927234023809433
61000,1224.5,27.12,8,0.022727448493242264
62000,1275.5,29.25,8,0.019298456609249115
63000,1268.88,28.62,8,0.028630800545215607
64000,1019.25,21.88,8,0.020567044615745544
65000,1227.88,27.25,8,0.05814553052186966
66000,1247.88,28.25,8,0.01746336556971073
67000,1082.62,23.5,8,0.023983178660273552
68000,1091.88,23.88,8,0.015779130160808563
69000,1244.62,27.88,8,0.01595226861536503
70000,1084.5,23.88,8,0.02116953767836094
71000,888.5,18.88,8,0.01795002818107605
72000,1170.0,25.75,8,0.060390107333660126
73000,1079.5,23.5,8,0.046220943331718445
74000,1176.88,25.88,8,0.022805634886026382
75000,1269.25,29.0,8,0.05269866809248924
76000,1113.12,24.25,8,0.020753007382154465
77000,1245.0,27.75,8,0.015147273428738117
78000,954.88,20.88,8,0.023122776299715042
79000,1076.38,23.75,8,0.024048417806625366
80000,1134.12,25.0,8,0.027105964720249176
81000,981.75,21.88,8,0.018843986093997955
82000,1267.88,28.75,8,0.013603907078504562
83000,1322.88,30.25,8,0.014688657596707344
84000,1253.62,28.5,8,0.0260072760283947
85000,1107.12,24.0,8,0.01442295964807272
86000,1205.25,26.88,8,0.02746935561299324
87000,1331.88,30.25,8,0.017299950122833252
88000,1235.88,27.75,8,0.02359088324010372
89000,1119.62,24.5,8,0.014576182700693607
90000,1175.38,26.0,8,0.02562844567000866
91000,1141.38,25.0,8,0.026983298361301422
92000,1345.5,30.62,8,0.03217659890651703
93000,1169.5,25.88,8,0.047667644917964935
94000,1079.62,23.88,8,0.02368222363293171
95000,1182.5,26.38,8,0.05704006552696228
96000,1208.5,26.88,8,0.05022665858268738
97000,1139.25,25.25,8,0.020151004195213318
98000,1129.0,25.0,8,0.021898800507187843
99000,1116.0,24.75,8,0.013889903202652931
100000,1376.75,32.0,8,0.016885671764612198
101000,1237.75,27.88,8,0.02249973639845848
102000,1057.62,24.0,8,0.015254915691912174
103000,1204.75,26.62,8,0.020700493827462196
104000,890.88,19.25,8,0.014856143854558468
105000,1167.25,25.75,8,0.013909495435655117
106000,1205.75,26.75,8,0.019787434488534927
107000,1285.12,29.25,8,0.016401875764131546
108000,1162.12,25.62,8,0.04743347316980362
109000,1269.5,29.12,8,0.023824775591492653
110000,1300.38,29.88,8,0.04680981487035751
111000,1273.38,28.88,8,0.014042871072888374
112000,1254.62,28.25,8,0.04405364394187927
113000,1307.12,29.75,8,0.015559338964521885
114000,1204.0,26.88,8,0.020446356385946274
115000,1218.38,27.12,8,0.031699154525995255
116000,1406.5,32.75,8,0.02114160917699337
117000,1143.12,25.12,8,0.017026487737894058
118000,1124.25,25.25,8,0.04820088669657707
119000,1225.88,27.25,8,0.018842000514268875
120000,1088.88,23.62,8,0.03522251918911934
121000,1264.0,28.38,8,0.019701505079865456
122000,1121.25,24.38,8,0.025468438863754272
123000,1183.38,26.5,8,0.02293611317873001
124000,1366.62,31.62,8,0.02102726139128208
125000,1320.12,30.0,8,0.01735343597829342
126000,1176.5,26.12,8,0.012477265670895576
127000,1138.75,25.38,8,0.021244872361421585
128000,1263.88,28.62,8,0.018877772614359856
129000,1387.88,32.12,8,0.04256782680749893
130000,1238.25,27.5,8,0.018126681447029114
131000,1283.38,28.88,8,0.01604030281305313
132000,1051.25,22.88,8,0.013380450196564198
133000,1130.88,25.0,8,0.01313587836921215
134000,1271.5,29.0,8,0.013157432898879051
135000,1220.0,27.25,8,0.013037304393947124
136000,1241.12,27.75,8,0.02185339853167534
137000,1211.75,27.12,8,0.023210618644952774
138000,1101.0,24.0,8,0.016585350036621094
139000,1239.5,27.88,8,0.0297680776566267
140000,1232.38,27.5,8,0.019313355907797813
141000,1354.88,31.12,8,0.02087368257343769
142000,1287.75,29.0,8,0.028903938829898834
143000,1302.88,29.5,8,0.016827328130602837
144000,1236.5,28.38,8,0.01220344565808773
145000,1144.12,25.12,8,0.022526737302541733
146000,1209.75,27.0,8,0.036486245691776276
147000,1270.12,28.62,8,0.016812540590763092
148000,1113.12,24.5,8,0.03694712370634079
149000,1095.0,24.38,8,0.017204515635967255
150000,1196.0,27.38,8,0.012015542015433311
151000,1155.75,25.75,8,0.012895168736577034
152000,1338.0,30.62,8,0.017710329964756966
153000,1348.5,31.0,8,0.027296487241983414
154000,1125.25,24.75,8,0.02074480429291725
155000,1307.5,29.62,8,0.05110087990760803
156000,1163.38,25.5,8,0.057042334228754044
157000,1249.5,27.88,8,0.05347273871302605
158000,915.75,20.0,8,0.05944919213652611
159000,1176.0,26.22,9,0.031919702887535095
160000,1152.75,25.75,8,0.020072713494300842
161000,1288.0,29.12,8,0.03405226022005081
162000,1140.62,25.5,8,0.018195420503616333
163000,1214.88,27.25,8,0.023669984191656113
164000,1248.5,28.0,8,0.031210001558065414
165000,1221.62,27.12,8,0.06454338878393173
166000,1314.25,30.5,8,0.10454417020082474
167000,1214.5,26.88,8,0.016580233350396156
168000,1251.5,28.0,8,0.016805019229650497
169000,1238.62,27.75,8,0.018085692077875137
170000,971.0,21.12,8,0.03186621516942978
171000,1215.12,27.5,8,0.04419604688882828
172000,1225.38,27.12,8,0.01762080192565918
173000,1168.67,26.11,9,0.009721526876091957
174000,1290.12,29.62,8,0.011465273797512054
175000,1323.62,30.38,8,0.01572604477405548
176000,1175.62,26.12,8,0.021255172789096832
177000,1382.38,32.0,8,0.04035300761461258
178000,1202.62,26.88,8,0.028070658445358276
179000,1329.5,30.38,8,0.023916779085993767
180000,1247.0,28.0,8,0.01954396814107895
181000,1280.5,28.88,8,0.016013460233807564
182000,1278.25,29.0,8,0.019723860546946526
183000,1268.0,28.5,8,0.014888298697769642
184000,1348.12,31.38,8,0.02129237912595272
185000,1193.0,26.5,8,0.04559002071619034
186000,1305.75,29.62,8,0.017424892634153366
187000,1205.5,26.88,8,0.02591048926115036
188000,1389.38,32.38,8,0.014331761747598648
189000,1307.12,29.75,8,0.013503488153219223
190000,1282.62,29.0,8,0.03321375697851181
191000,1152.5,25.25,8,0.011390281841158867
192000,1311.0,29.62,8,0.02390957437455654
193000,884.62,19.25,8,0.04293446242809296
194000,1275.12,28.62,8,0.022939546033740044
195000,1310.38,30.25,8,0.02483084797859192
196000,1188.62,26.75,8,0.019532255828380585
197000,1262.0,28.25,8,0.026982858777046204
198000,1071.0,23.5,8,0.021398477256298065
199000,1179.25,25.88,8,0.043318383395671844
200000,1332.12,30.62,8,0.019230615347623825
201000,1044.12,22.62,8,0.045132070779800415
202000,1013.12,21.88,8,0.02280140295624733
203000,1134.12,24.75,8,0.02918432652950287
204000,1258.5,28.88,8,0.05124519020318985
205000,1184.88,26.38,8,0.04470859095454216
206000,1322.12,30.0,8,0.015798620879650116
207000,1295.62,29.25,8,0.022660784423351288
208000,1111.12,25.12,8,0.017444809898734093
209000,1187.0,26.25,8,0.051075778901576996
210000,1224.62,27.25,8,0.0211856160312891
211000,1150.0,25.88,8,0.015926476567983627
212000,1177.25,26.0,8,0.038269639015197754
213000,1121.12,24.38,8,0.019681554287672043
214000,992.88,21.25,8,0.019081750884652138
215000,1050.75,22.75,8,0.02428104728460312
216000,1187.62,26.75,8,0.013233296573162079
217000,1460.88,34.88,8,0.025001347064971924
218000,1202.12,27.12,8,0.015784846618771553
219000,1239.62,27.88,8,0.022160604596138
220000,1222.38,27.62,8,0.056808728724718094
221000,396.62,9.25,8,0.023233864456415176
222000,1048.12,23.38,8,0.02950240671634674
223000,1250.12,28.12,8,0.012076222337782383
224000,1149.5,25.5,8,0.02744969353079796
225000,934.38,20.25,8,0.015224294736981392
226000,1037.12,23.62,8,0.033907484263181686
227000,1093.75,24.5,8,0.029282279312610626
228000,1245.25,28.25,8,0.02317623421549797
229000,1226.62,27.5,8,0.058101050555706024
230000,1225.75,27.25,8,0.01513948105275631
231000,1304.12,29.62,8,0.021522626280784607
232000,1243.22,28.56,9,0.024961097165942192
233000,1223.12,27.62,8,0.016347015276551247
234000,1220.88,27.25,8,0.07164864242076874
235000,1087.5,24.38,8,0.03941646218299866
236000,1139.75,25.25,8,0.021094314754009247
237000,1005.25,21.88,8,0.0558130219578743
238000,1273.88,28.62,8,0.025723906233906746
239000,1212.88,26.75,8,0.047642145305871964
240000,970.0,21.5,8,0.029276859015226364
241000,1301.12,30.0,8,0.015359252691268921
242000,1173.62,26.5,8,0.03867831453680992
243000,1264.88,28.5,8,0.015170459635555744
244000,1289.75,29.12,8,0.017961010336875916
245000,1122.12,24.5,8,0.0148041732609272
246000,1197.25,26.38,8,0.028616802766919136
247000,1359.5,31.5,8,0.01858721300959587
248000,1111.75,24.38,8,0.013735269196331501
249000,1242.75,27.88,8,0.015885576605796814
250000,1086.5,23.5,8,0.02613610401749611
251000,1333.62,30.88,8,0.022818071767687798
252000,1385.12,32.0,8,0.026789819821715355
253000,1361.88,31.25,8,0.017820974811911583
254000,946.25,21.38,8,0.03353559225797653
255000,1302.88,29.75,8,0.021644052118062973
256000,1257.0,28.5,8,0.06743231415748596
257000,1274.75,29.0,8,0.03543240949511528
258000,1160.88,25.5,8,0.061820052564144135
259000,1224.75,27.38,8,0.019229084253311157
260000,1397.12,32.25,8,0.018619855865836143
261000,1158.88,25.5,8,0.014921139925718307
262000,1304.25,30.12,8,0.015656447038054466
263000,1197.75,26.75,8,0.03651898354291916
264000,1293.5,29.5,8,0.015267249196767807
265000,1201.88,26.88,8,0.02406088449060917
266000,1256.5,28.25,8,0.0371234193444252
267000,1194.88,26.5,8,0.05700749531388283
268000,1296.12,29.38,8,0.016840102151036263
269000,1125.88,25.0,8,0.016204673796892166
270000,1248.88,28.12,8,0.02865155227482319
271000,1231.0,27.5,8,0.01658243127167225
272000,1144.88,25.12,8,0.03963102772831917
273000,1135.25,25.0,8,0.039700623601675034
274000,1266.12,28.5,8,0.03317616507411003
275000,1191.25,26.5,8,0.022150985896587372
276000,1366.75,31.5,8,0.01644875481724739
277000,1204.25,27.0,8,0.014402990229427814
278000,1198.25,26.5,8,0.030543899163603783
279000,1077.0,23.38,8,0.021350279450416565
280000,1301.25,29.5,8,0.017450321465730667
281000,1367.62,31.75,8,0.03564595431089401
282000,1302.67,29.78,9,0.02603709138929844
283000,1336.75,30.38,8,0.026727113872766495
284000,1297.88,29.62,8,0.024133648723363876
285000,1166.75,26.25,8,0.019983181729912758
286000,1365.75,31.5,8,0.012794163078069687
287000,1015.0,22.25,8,0.0292363204061985
288000,1173.12,25.88,8,0.010149095207452774
289000,1162.62,26.0,8,0.0220627598464489
290000,1317.38,29.88,8,0.019326524809002876
291000,1212.88,26.88,8,0.01716209389269352
292000,1179.62,26.25,8,0.013639557175338268
293000,1382.25,31.75,8,0.016761403530836105
294000,1164.75,25.88,8,0.015399700030684471
295000,1274.75,28.88,8,0.02882259711623192
296000,1344.0,30.88,8,0.05518811568617821
297000,1228.88,27.25,8,0.030415453016757965
298000,1259.75,28.38,8,0.018058892339468002
299000,1296.62,29.5,8,0.02389087900519371
300000,1355.12,31.5,8,0.02781926840543747
301000,1026.38,22.25,8,0.028001131489872932
302000,1246.12,27.88,8,0.021713629364967346
303000,1365.0,31.5,8,0.01638936623930931
304000,1275.75,28.75,8,0.01778504252433777
305000,1202.62,26.75,8,0.022021492943167686
306000,1123.62,24.5,8,0.016710326075553894
307000,1368.75,31.88,8,0.016704896464943886
308000,1369.0,31.88,8,0.030501343309879303
309000,1138.75,25.38,8,0.015759434551000595
310000,1205.62,26.88,8,0.023955712094902992
311000,1332.12,30.75,8,0.01136230118572712
312000,1305.62,29.62,8,0.012765154242515564
313000,880.25,19.88,8,0.030393537133932114
314000,1306.62,29.75,8,0.012891829945147038
315000,1227.38,27.5,8,0.019010508432984352
316000,1206.25,26.75,8,0.010862287133932114
317000,1389.12,32.5,8,0.013687516562640667
318000,1236.25,27.75,8,0.02478763833642006
319000,1279.75,28.88,8,0.05070602148771286
320000,1323.5,30.0,8,0.022391896694898605
321000,1483.0,35.12,8,0.06863506138324738
322000,1047.38,22.88,8,0.03491548076272011
323000,1134.62,24.75,8,0.009943104349076748
324000,1337.62,30.5,8,0.03263566270470619
325000,1341.38,31.0,8,0.01705097034573555
326000,1128.5,25.0,8,0.014856429770588875
327000,1233.12,27.62,8,0.015923963859677315
328000,1131.38,25.38,8,0.011873627081513405
329000,729.25,15.75,8,0.042317938059568405
330000,1165.78,25.78,9,0.017226632684469223
331000,1199.75,26.62,8,0.014544710516929626
332000,1247.38,28.75,8,0.02729075960814953
333000,1190.0,26.75,8,0.009565810672938824
334000,1095.0,23.88,8,0.01048625260591507
335000,1232.62,27.88,8,0.04154257848858833
336000,1366.75,31.5,8,0.024919642135500908
337000,1283.12,29.0,8,0.012494303286075592
338000,1293.62,29.12,8,0.03772657364606857
339000,1265.5,28.62,8,0.012422889471054077
340000,1221.75,27.5,8,0.013057769276201725
341000,1333.62,30.62,8,0.015018732286989689
342000,1294.75,29.38,8,0.01880134642124176
343000,1200.5,26.5,8,0.013055908493697643
344000,1100.38,24.0,8,0.06275906413793564
345000,1149.0,25.38,8,0.01053437776863575
346000,1324.88,31.5,8,0.007636524271219969
347000,1273.0,29.0,9,0.011420839466154575
348000,1211.38,26.88,8,0.014756494201719761
349000,1231.25,27.38,8,0.02393263764679432
350000,1337.88,30.75,8,0.010252559557557106
351000,1336.12,30.88,8,0.031143510714173317
352000,1352.88,31.12,8,0.02352064847946167
353000,1259.25,28.5,8,0.023964500054717064
354000,1153.25,25.62,8,0.01572023332118988
355000,1233.0,27.75,8,0.05003906786441803
356000,1231.75,27.5,8,0.011479035019874573
357000,1245.5,27.75,8,0.017799414694309235
358000,1047.12,22.88,8,0.01549810916185379
359000,1377.62,32.0,8,0.02912670373916626
360000,1387.25,31.88,8,0.01278640516102314
361000,1210.75,26.75,8,0.020230412483215332
362000,1140.0,25.25,8,0.02664639800786972
363000,1242.0,27.88,8,0.02780064195394516
364000,1235.12,27.62,8,0.014170289970934391
365000,1322.88,30.5,8,0.03865065798163414
366000,1390.38,32.12,8,0.014104953035712242
367000,1393.38,32.25,8,0.036681532859802246
368000,1241.75,28.12,8,0.011343986727297306
369000,1275.88,28.88,8,0.010206503793597221
370000,1183.62,26.25,8,0.015611636452376842
371000,1343.38,31.0,8,0.021758534014225006
372000,1239.38,28.38,8,0.006623889319598675
373000,1265.0,28.5,8,0.009592860005795956
374000,1296.62,29.38,8,0.08027925342321396
375000,1315.62,29.75,8,0.010680138133466244
376000,1138.12,25.75,8,0.030367858707904816
377000,1475.12,35.0,8,0.01434851624071598
378000,1395.62,32.25,8,0.01943759247660637
379000,1164.12,25.88,8,0.012766288593411446
380000,1296.62,29.38,8,0.04393564909696579
381000,1243.25,28.0,8,0.012409703806042671
382000,1256.5,28.12,8,0.011602894403040409
383000,1367.5,31.62,8,0.035827890038490295
384000,1190.75,26.5,8,0.027239631861448288
385000,1099.25,24.0,8,0.019490255042910576
386000,1371.75,32.12,8,0.012493491172790527
387000,1239.0,27.75,8,0.017403606325387955
388000,1240.88,27.62,8,0.03137872368097305
389000,1339.75,31.25,8,0.01059567742049694
390000,1121.88,25.5,8,0.00986976083368063
391000,1018.5,22.25,8,0.014528041705489159
392000,1271.62,28.62,8,0.013693143613636494
393000,1298.12,29.75,8,0.029581774026155472
394000,1172.12,26.25,8,0.03941649943590164
395000,1398.67,32.89,9,0.015420837327837944
396000,1300.75,29.75,8,0.01765967346727848
397000,1444.62,33.88,8,0.008408007211983204
398000,1346.12,31.0,8,0.012650292366743088
399000,1268.0,28.62,8,0.040716901421546936
400000,1375.12,31.75,8,0.009042199701070786
401000,1293.88,29.62,8,0.05313052609562874
402000,1369.38,31.88,8,0.018098941072821617
403000,1428.12,33.38,8,0.01539432629942894
404000,1409.0,33.25,8,0.024363800883293152
405000,1227.0,27.75,8,0.012160783633589745
406000,1431.62,33.75,8,0.021907487884163857
407000,1387.25,32.12,8,0.010039005428552628
408000,1477.0,35.0,8,0.024927034974098206
409000,1397.88,32.5,8,0.0182659775018692
410000,1180.44,26.56,9,0.05588488280773163
411000,1236.0,27.88,8,0.013569878414273262
412000,1242.75,28.38,8,0.013363593257963657
413000,1066.25,23.25,8,0.03055890090763569
414000,1361.0,31.25,8,0.012882180511951447
415000,1267.88,28.5,8,0.011419136077165604
416000,1366.75,31.5,8,0.017470771446824074
417000,1264.88,28.38,8,0.02267587184906006
418000,1280.0,28.88,8,0.011976225301623344
419000,1291.5,29.38,8,0.01716390624642372
420000,1395.62,32.5,8,0.026613090187311172
421000,1215.88,27.12,8,0.022739436477422714
422000,1205.62,27.25,8,0.04461057484149933
423000,1247.75,28.62,8,0.01938736066222191
424000,1400.5,32.75,8,0.009827704168856144
425000,1370.25,31.5,8,0.00949002243578434
426000,1348.0,30.75,8,0.01056244783103466
427000,1397.38,32.75,8,0.049315791577100754
428000,1440.88,34.38,8,0.02260676771402359
429000,1173.38,26.0,8,0.012898208573460579
430000,1352.38,31.25,8,0.08784995973110199
431000,1374.0,31.88,8,0.014851047657430172
432000,1436.38,34.0,8,0.01140903402119875
433000,1314.12,30.5,8,0.018778860569000244
434000,1345.75,31.12,8,0.018909335136413574
435000,1343.22,31.11,9,0.03328927606344223
436000,1347.88,30.75,8,0.014264075085520744
437000,1193.38,26.75,8,0.01006343960762024
438000,1420.75,33.62,8,0.015514549799263477
439000,1379.5,32.75,8,0.01362598966807127
440000,1326.38,30.25,8,0.053246308118104935
441000,1301.38,29.88,8,0.016692323610186577
442000,1433.62,33.75,8,0.01834709756076336
443000,1217.62,27.75,8,0.028145436197519302
444000,1396.75,32.38,8,0.009386353194713593
445000,1303.62,29.88,8,0.01316741667687893
446000,1385.88,32.0,8,0.019786179065704346
447000,1457.38,34.75,8,0.013933857902884483
448000,1320.88,30.25,8,0.009321631863713264
449000,1404.25,33.38,8,0.023397671058773994
450000,1129.75,24.88,8,0.0366906076669693
451000,1388.0,32.62,8,0.009204375557601452
452000,1256.88,28.0,8,0.011373238638043404
453000,1217.25,27.38,8,0.01144610345363617
454000,1400.5,33.0,8,0.01294768787920475
455000,1355.5,31.88,8,0.007073158398270607
456000,1286.25,29.0,8,0.017918497323989868
457000,1303.0,29.88,8,0.013260780833661556
458000,1167.88,25.75,8,0.015266597270965576
459000,1336.75,30.75,8,0.02808210998773575
460000,1364.75,31.5,8,0.011214311234652996
461000,1322.38,30.62,8,0.017299242317676544
462000,1383.62,32.0,8,0.013747695833444595
463000,1355.5,31.62,8,0.016891423612833023
464000,1124.62,25.0,8,0.04641249030828476
465000,1250.5,28.12,8,0.015132926404476166
466000,1309.38,29.75,8,0.02946402318775654
467000,1253.25,28.12,8,0.04062642157077789
468000,1400.12,32.62,8,0.014383095316588879
469000,1398.25,33.12,8,0.028264284133911133
470000,1084.62,24.12,8,0.008843951858580112
471000,1317.12,30.12,8,0.012621909379959106
472000,1383.62,32.12,8,0.009275263175368309
473000,1219.25,27.12,8,0.021990269422531128
474000,1275.75,28.88,8,0.012230003252625465
475000,1356.5,31.5,8,0.010226758196949959
476000,1262.12,28.5,8,0.023497752845287323
477000,1509.62,36.62,8,0.02092403545975685
478000,1282.88,29.25,8,0.015773974359035492
479000,1416.75,33.88,8,0.01075584813952446
480000,1225.67,28.33,9,0.010714195668697357
481000,1323.5,30.38,8,0.008574859239161015
482000,1462.88,34.62,8,0.010518057271838188
483000,1315.5,29.88,8,0.00783963967114687
484000,1183.25,27.12,8,0.014821180142462254
485000,1361.25,31.38,8,0.015098875388503075
486000,1304.12,29.62,8,0.00888255424797535
487000,1302.62,30.25,8,0.017065096646547318
488000,1343.12,30.75,8,0.012386773712933064
489000,1270.12,29.12,8,0.014683066867291927
490000,1386.38,32.25,8,0.014644753187894821
491000,1382.75,32.12,8,0.041625868529081345
492000,1418.75,33.5,8,0.010570142418146133
493000,1390.25,32.38,8,0.019467588514089584
494000,1422.38,33.5,8,0.013477570377290249
495000,1226.25,27.5,8,0.014938396401703358
496000,1423.0,33.5,8,0.020852526649832726
497000,1426.62,33.5,8,0.009363898076117039
498000,1284.88,29.12,8,0.02178332768380642
499000,1388.12,33.12,8,0.01615019515156746
500000,1385.75,32.5,8,0.011688344180583954
501000,1334.38,30.38,8,0.012647606432437897
502000,1403.5,32.5,8,0.02362527698278427
503000,1275.38,29.25,8,0.02042251080274582
504000,1323.25,30.88,8,0.015124339610338211
505000,1308.88,29.75,8,0.010735789313912392
506000,1312.38,29.88,8,0.009796504862606525
507000,1295.88,29.62,8,0.056969814002513885
508000,1331.12,30.38,8,0.025750819593667984
509000,1410.88,33.25,8,0.007874715141952038
510000,1431.0,34.12,8,0.023911841213703156
511000,1318.38,30.25,8,0.012859847396612167
512000,1318.12,30.25,8,0.013770642690360546
513000,1272.75,29.12,8,0.03287636861205101
514000,1438.88,33.75,8,0.04263455048203468
515000,1297.0,29.75,8,0.037999462336301804
516000,1341.5,31.25,8,0.008369117975234985
517000,1332.88,30.5,8,0.04586928337812424
518000,1263.5,29.0,8,0.017367972061038017
519000,1126.75,25.25,8,0.01581483893096447
520000,1380.25,33.0,8,0.017121538519859314
521000,1260.5,28.62,8,0.01746622659265995
522000,1537.88,37.75,8,0.011697499081492424
523000,1336.88,31.12,8,0.014626355841755867
524000,1400.88,32.5,8,0.023553572595119476
525000,1197.62,26.75,8,0.009695284999907017
526000,1266.75,28.88,8,0.01918867602944374
527000,1502.88,36.25,8,0.013743446208536625
528000,1347.12,31.12,8,0.016659244894981384
529000,1265.62,28.88,8,0.015215656720101833
530000,1389.12,32.75,8,0.01455692108720541
531000,1404.25,33.5,8,0.019533589482307434
532000,1208.38,27.0,8,0.011829372495412827
533000,1226.88,27.38,8,0.01748596876859665
534000,1490.12,36.12,8,0.008099224418401718
535000,1452.0,34.62,8,0.048692941665649414
536000,1261.0,28.62,8,0.03746441751718521
537000,1209.0,27.38,8,0.010193190537393093
538000,1386.0,32.88,8,0.019912196323275566
539000,1253.0,28.0,8,0.01523711159825325
540000,1396.0,32.75,8,0.013161481358110905
541000,1304.62,29.62,8,0.010527849197387695
542000,1387.12,31.88,8,0.025802472606301308
543000,1436.88,33.88,8,0.04084646329283714
544000,1480.38,35.88,8,0.008188355714082718
545000,1422.5,33.0,8,0.0069857994094491005
546000,1426.88,33.5,8,0.013098908588290215
547000,1404.75,33.5,8,0.036444589495658875
548000,1450.75,34.38,8,0.011053550988435745
549000,1472.0,35.0,8,0.0153093496337533
550000,1460.12,35.75,8,0.013869013637304306
551000,1189.25,26.5,8,0.02749604731798172
552000,1422.88,33.38,8,0.018375620245933533
553000,1171.75,26.38,8,0.01258133165538311
554000,1255.25,28.62,8,0.028765873983502388
555000,1389.25,32.75,8,0.01172609906643629
556000,1218.75,27.38,8,0.01873837411403656
557000,1363.88,32.0,8,0.01272597536444664
558000,1229.5,27.5,8,0.018906235694885254
559000,1226.75,27.62,8,0.01082534808665514
560000,1158.12,26.12,8,0.031345855444669724
561000,1495.0,36.12,8,0.01923118531703949
562000,1259.75,29.25,8,0.01765415444970131
563000,1529.75,37.62,8,0.03267133608460426
564000,1309.88,29.88,8,0.01302354782819748
565000,1454.0,34.38,8,0.044418297708034515
566000,1297.75,29.5,8,0.009499751962721348
567000,1091.75,25.5,8,0.023932889103889465
568000,1083.88,23.75,8,0.011805321089923382
569000,1224.88,27.75,8,0.011036589741706848
570000,1060.0,24.5,8,0.015776295214891434
571000,1350.38,31.5,8,0.01369988638907671
572000,1423.5,33.38,8,0.021610723808407784
573000,1355.75,31.0,8,0.023229451850056648
574000,1301.62,30.12,8,0.03653636574745178
575000,1348.12,31.12,8,0.012598256580531597
576000,1466.62,34.75,8,0.020595213398337364
577000,1355.12,31.62,8,0.014487877488136292
578000,1334.25,31.0,8,0.024042382836341858
579000,1282.75,29.38,8,0.03012082353234291
580000,1106.0,25.0,8,0.04565861076116562
581000,1380.62,32.5,8,0.007926832884550095
582000,1311.25,29.88,8,0.010803285986185074
583000,1201.62,27.5,8,0.01680966094136238
584000,1311.38,30.62,8,0.014991812407970428
585000,1322.75,30.12,8,0.03600279241800308
586000,1346.88,30.88,8,0.04614507779479027
587000,1294.12,29.38,8,0.02994988113641739
588000,1173.12,26.12,8,0.024471603333950043
589000,1132.75,25.38,8,0.02965189889073372
590000,1015.25,22.25,8,0.07807019352912903
591000,1367.88,32.38,8,0.032787635922431946
592000,1369.0,32.12,8,0.016597727313637733
593000,1533.5,37.0,8,0.010929962620139122
594000,1391.38,32.62,8,0.03401002287864685
595000,1325.75,30.38,8,0.013474371284246445
596000,1278.0,28.88,8,0.02142617106437683
597000,1229.62,28.0,8,0.01250370405614376
598000,1510.25,36.5,8,0.02327502705156803
599000,1465.5,35.38,8,0.012685457244515419
600000,1278.88,29.12,8,0.012900232337415218
601000,1476.5,35.38,8,0.011135345324873924
602000,1286.38,29.5,8,0.01656511425971985
603000,1400.62,32.62,8,0.018362266942858696
604000,1410.62,33.0,8,0.01654498279094696
605000,1347.0,31.62,8,0.015228183940052986
606000,1279.75,29.5,8,0.014224644750356674
607000,1389.0,33.38,8,0.016317861154675484
